,channel_id,created_date,country,snippet_title,snippet_description,snippet_customurl,snippet_publishedat,snippet_thumbnails_default_url,snippet_thumbnails_default_width,snippet_thumbnails_default_height,snippet_thumbnails_medium_url,snippet_thumbnails_medium_width,snippet_thumbnails_medium_height,snippet_thumbnails_high_url,snippet_thumbnails_high_width,snippet_thumbnails_high_height,snippet_localized_title,snippet_localized_description,contentdetails_relatedplaylists_likes,contentdetails_relatedplaylists_uploads,statistics_viewcount,statistics_subscribercount,statistics_hiddensubscribercount,statistics_videocount,topicdetails_topicids,topicdetails_topiccategories,status_privacystatus,status_islinked,status_longuploadsstatus,brandingsettings_channel_title,scrape_date
35,UCEBpSZhI1X8WaP-kY_2LLcg,2017-08-07T15:17:05Z,BG,365 Data Science,"All AI & data courses—77% OFF until Dec.4. 
At 365 Data Science we make #DataScience accessible to all by providing the highest quality online data science education. Our courses are designed to build up your skill set from beginner to job-ready, regardless of your current level, background education, and experience.

Our data science program helps students and young professionals embark on a career as a data scientist. Demand for qualified data scientists is at an all-time high and traditional degrees are simply too expensive, time-consuming or rigid to meet the majority of needs. Our mission is to close that gap. 

We provide high quality, affordable training to open new opportunities for students and professionals all over the world. 
We constantly improve our program offering and the customer experience.
We’ve Helped More than 1 Million Student differentiate themselves by providing them with:

Ready to Start Your Career?
",@365datascience,2017-08-07T15:17:05Z,https://yt3.ggpht.com/-YcMhCGqQL5RY85jbwN7pw1Axda_dTemcKR-deDb_nV-ocr7eKeGpTzOn94yAQw1Yj9nEyQORdY=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/-YcMhCGqQL5RY85jbwN7pw1Axda_dTemcKR-deDb_nV-ocr7eKeGpTzOn94yAQw1Yj9nEyQORdY=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/-YcMhCGqQL5RY85jbwN7pw1Axda_dTemcKR-deDb_nV-ocr7eKeGpTzOn94yAQw1Yj9nEyQORdY=s800-c-k-c0x00ffffff-no-rj,800,800,365 Data Science,"All AI & data courses—77% OFF until Dec.4. 
At 365 Data Science we make #DataScience accessible to all by providing the highest quality online data science education. Our courses are designed to build up your skill set from beginner to job-ready, regardless of your current level, background education, and experience.

Our data science program helps students and young professionals embark on a career as a data scientist. Demand for qualified data scientists is at an all-time high and traditional degrees are simply too expensive, time-consuming or rigid to meet the majority of needs. Our mission is to close that gap. 

We provide high quality, affordable training to open new opportunities for students and professionals all over the world. 
We constantly improve our program offering and the customer experience.
We’ve Helped More than 1 Million Student differentiate themselves by providing them with:

Ready to Start Your Career?
",,UUEBpSZhI1X8WaP-kY_2LLcg,16702784,363000,False,273,"['/m/019_rr', '/m/01k8wb', '/m/07c1v']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",public,True,longUploadsUnspecified,365 Data Science,1764668786732813000
36,UCEV-Te6cqlR5MqZa2IuvWog,2021-03-08T14:45:03.769014Z,US,Cisco Config,"After watching and getting help from many videos tutorial on YouTube I decide to share my knowledge and help people who want to learn Networking and Configuration. I try to make my video as simple as possible and practically show you how to design, Configure and test the network. I hope so people enjoy my video and get knowledge also.",@ciscoconfig,2021-03-08T14:45:03.769014Z,https://yt3.ggpht.com/XUgQvxjp5GL8iulYrXYzwaWm9jLevPaKaZMk8gXS6j029OjBnAkh-faM_MGHAuvtn86stRXkLA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/XUgQvxjp5GL8iulYrXYzwaWm9jLevPaKaZMk8gXS6j029OjBnAkh-faM_MGHAuvtn86stRXkLA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/XUgQvxjp5GL8iulYrXYzwaWm9jLevPaKaZMk8gXS6j029OjBnAkh-faM_MGHAuvtn86stRXkLA=s800-c-k-c0x00ffffff-no-rj,800,800,Cisco Config,"After watching and getting help from many videos tutorial on YouTube I decide to share my knowledge and help people who want to learn Networking and Configuration. I try to make my video as simple as possible and practically show you how to design, Configure and test the network. I hope so people enjoy my video and get knowledge also.",,UUEV-Te6cqlR5MqZa2IuvWog,7496958,98500,False,50,"['/m/019_rr', '/m/07c1v', '/m/01k8wb']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Knowledge']",public,True,longUploadsUnspecified,Cisco Config,1764668787029995000
37,UCEWiIE6Htd8mvlOR6YQez1g,2005-10-13T15:39:33Z,,Cisco,"Cisco is the worldwide technology leader that is revolutionizing the way organizations connect and protect in the AI era. For more than 40 years, Cisco has securely connected the world. With its industry leading AI-powered solutions and services, Cisco enables its customers, partners and communities to unlock innovation, enhance productivity and strengthen digital resilience.  With purpose at its core, Cisco remains committed to creating a more connected and inclusive future for all. ",@cisco,2005-10-13T15:39:33Z,https://yt3.ggpht.com/_NwkFeixjYh7VlH267bkjnJz9WciTzOuvWYhpjD_CdOICvWKPOS6nNsYAcgCX47WAGkNq_VPKA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/_NwkFeixjYh7VlH267bkjnJz9WciTzOuvWYhpjD_CdOICvWKPOS6nNsYAcgCX47WAGkNq_VPKA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/_NwkFeixjYh7VlH267bkjnJz9WciTzOuvWYhpjD_CdOICvWKPOS6nNsYAcgCX47WAGkNq_VPKA=s800-c-k-c0x00ffffff-no-rj,800,800,Cisco,"Cisco is the worldwide technology leader that is revolutionizing the way organizations connect and protect in the AI era. For more than 40 years, Cisco has securely connected the world. With its industry leading AI-powered solutions and services, Cisco enables its customers, partners and communities to unlock innovation, enhance productivity and strengthen digital resilience.  With purpose at its core, Cisco remains committed to creating a more connected and inclusive future for all. ",,UUEWiIE6Htd8mvlOR6YQez1g,25818711,403000,False,2198,"['/m/019_rr', '/g/120y8l81', '/m/07c1v', '/m/01k8wb']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Business', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Knowledge']",public,True,longUploadsUnspecified,Cisco,1764668786732813000
38,UCEcvESl6itwIlIVgjLtvypw,2019-05-28T23:56:42Z,BR,Tech News,"Canal focado em tecnologia e dicas de produtos eletrônicos.

Meu nome é Lucas,

AQUI VOCÊ ENCONTRA:
- Reviews completos de detalhados
- Dicas e tutoriais
- Comparativos

Inscreva-se neste canal que te AJUDA de verdade!

➤ E-mail: lucas@canaltechnews.com
➤ Me siga no Instagram: http://bit.ly/TechNews-IG
",@technewslucas,2019-05-28T23:56:42Z,https://yt3.ggpht.com/ytc/AIdro_kZx_7dZbKL_omnSxxxTuzhV9ebumx__bHlhobQQs5HxRc=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_kZx_7dZbKL_omnSxxxTuzhV9ebumx__bHlhobQQs5HxRc=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_kZx_7dZbKL_omnSxxxTuzhV9ebumx__bHlhobQQs5HxRc=s800-c-k-c0x00ffffff-no-rj,800,800,Tech News,"Canal focado em tecnologia e dicas de produtos eletrônicos.

Meu nome é Lucas,

AQUI VOCÊ ENCONTRA:
- Reviews completos de detalhados
- Dicas e tutoriais
- Comparativos

Inscreva-se neste canal que te AJUDA de verdade!

➤ E-mail: lucas@canaltechnews.com
➤ Me siga no Instagram: http://bit.ly/TechNews-IG
",,UUEcvESl6itwIlIVgjLtvypw,13328357,73500,False,811,"['/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,Tech News,1764668787029995000
39,UCGWZY-0pONnKmF98dhZy9CQ,2011-01-29T11:21:08Z,,Stephane Maarek,"Get started with AWS, Apache Kafka, and much more!
Releasing a new video every Thursday! Don't forget to subscribe!

I am Stephane Maarek, a solutions architect, consultant, and software developer that has a particular interest in all things related to Big Data, Cloud & API. I am also a many-times best-seller instructor on Udemy for my courses in Apache Kafka and AWS.
I love Apache Kafka. I sat on the 2019 Program Committee organizing the Kafka Summit in New York, London, and San Francisco. I am also an active member of the Apache Kafka community, authoring blogs on Medium and a guest blog for Confluent.  
I am also an AWS Certified Developer, SysOps & Solutions Architect, and I love to teach people how to use AWS properly, to get them ready for their AWS certifications, and most importantly for the real world.",@stephanemaarek,2011-01-29T11:21:08Z,https://yt3.ggpht.com/1ZiUNfjrrlAJuWAlzJPd27Ox5umgCq7wPK9rfE6tbbCdYXAyY3M-oc5oqVTpfTjqTmYx360U9bQ=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/1ZiUNfjrrlAJuWAlzJPd27Ox5umgCq7wPK9rfE6tbbCdYXAyY3M-oc5oqVTpfTjqTmYx360U9bQ=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/1ZiUNfjrrlAJuWAlzJPd27Ox5umgCq7wPK9rfE6tbbCdYXAyY3M-oc5oqVTpfTjqTmYx360U9bQ=s800-c-k-c0x00ffffff-no-rj,800,800,Stephane Maarek,"Get started with AWS, Apache Kafka, and much more!
Releasing a new video every Thursday! Don't forget to subscribe!

I am Stephane Maarek, a solutions architect, consultant, and software developer that has a particular interest in all things related to Big Data, Cloud & API. I am also a many-times best-seller instructor on Udemy for my courses in Apache Kafka and AWS.
I love Apache Kafka. I sat on the 2019 Program Committee organizing the Kafka Summit in New York, London, and San Francisco. I am also an active member of the Apache Kafka community, authoring blogs on Medium and a guest blog for Confluent.  
I am also an AWS Certified Developer, SysOps & Solutions Architect, and I love to teach people how to use AWS properly, to get them ready for their AWS certifications, and most importantly for the real world.",,UUGWZY-0pONnKmF98dhZy9CQ,8875462,124000,False,201,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,Stephane Maarek,1764668787029995000
40,UCGgAsNJ-w5v4c4iyOH_hGig,2019-06-07T06:53:05Z,IN,Learn Computer Science,"Learn Computer science online is an educational e-learning portal . Learn Computer science online is a comprehensive resource for learning computer science . Learn all the important subjects in Computer Science online step-by-step.

Learn Computer science online provides video tutorial on various computer science subjects . The Computer science subjects includes computer programming , software engineering , computer hardware , computer software , data structures and algorithms , database management systems , DBMS , relational database management systems , RDBMS , operating systems , web design , web development , data science , machine learning , big data , artificial intelligence and computer engineering.

Learn Computer Science Online . Com  

https://www.learncomputerscienceonline.com/",@learncomputerscience,2019-06-07T06:53:05Z,https://yt3.ggpht.com/ytc/AIdro_n_Bw4kh50h2ViRA6buUHbLjDP3rIn9238wHdnk-CvS5w=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_n_Bw4kh50h2ViRA6buUHbLjDP3rIn9238wHdnk-CvS5w=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_n_Bw4kh50h2ViRA6buUHbLjDP3rIn9238wHdnk-CvS5w=s800-c-k-c0x00ffffff-no-rj,800,800,Learn Computer Science,"Learn Computer science online is an educational e-learning portal . Learn Computer science online is a comprehensive resource for learning computer science . Learn all the important subjects in Computer Science online step-by-step.

Learn Computer science online provides video tutorial on various computer science subjects . The Computer science subjects includes computer programming , software engineering , computer hardware , computer software , data structures and algorithms , database management systems , DBMS , relational database management systems , RDBMS , operating systems , web design , web development , data science , machine learning , big data , artificial intelligence and computer engineering.

Learn Computer Science Online . Com  

https://www.learncomputerscienceonline.com/",,UUGgAsNJ-w5v4c4iyOH_hGig,2931835,47100,False,43,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,Learn Computer Science,1764668787029995000
41,UCHHIyLEhmDENeTgGAjFt3lw,2013-12-24T23:17:31Z,GB,PC Building Simulator,The official YouTube channel for PC Building Simulator! Get PC Building Simulator 2 now or try the demo for free on PC via the Epic Games Store!,@pcbuildingsimulator,2013-12-24T23:17:31Z,https://yt3.ggpht.com/7HO6dPsAIuOiW4jSFspnsMBp8NPXsQPzk8h-LU2TOIjVd7tt6KggHVgYUaQJYgdXRGvKMtSItg=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/7HO6dPsAIuOiW4jSFspnsMBp8NPXsQPzk8h-LU2TOIjVd7tt6KggHVgYUaQJYgdXRGvKMtSItg=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/7HO6dPsAIuOiW4jSFspnsMBp8NPXsQPzk8h-LU2TOIjVd7tt6KggHVgYUaQJYgdXRGvKMtSItg=s800-c-k-c0x00ffffff-no-rj,800,800,PC Building Simulator,The official YouTube channel for PC Building Simulator! Get PC Building Simulator 2 now or try the demo for free on PC via the Epic Games Store!,,UUHHIyLEhmDENeTgGAjFt3lw,6568678,23400,False,154,"['/m/021bp2', '/m/0bzvm2', '/m/07c1v', '/m/019_rr', '/m/04rlf']","['https://en.wikipedia.org/wiki/Simulation_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Music']",public,True,longUploadsUnspecified,PC Building Simulator,1764668787264490000
42,UCHZyqB9qHGGGw5QeRVEbQDg,2015-02-01T15:56:14Z,DE,Linux Guides,"Wöchentliche Videos rund um Linux- und Open Source. 
Die Videos sind sowohl für Anfänger, als auch teilweise für Fortgeschrittene gedacht.

Impressum: https://www.linuxguides.de/impressum/",@linuxguides,2015-02-01T15:56:14Z,https://yt3.ggpht.com/PxBt_FucaFLtxSCl8cs54xDnAQoztgm-fZLg8LG_mgzCMEg1xwEREehUOmdvACEz0XFREtkE=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/PxBt_FucaFLtxSCl8cs54xDnAQoztgm-fZLg8LG_mgzCMEg1xwEREehUOmdvACEz0XFREtkE=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/PxBt_FucaFLtxSCl8cs54xDnAQoztgm-fZLg8LG_mgzCMEg1xwEREehUOmdvACEz0XFREtkE=s800-c-k-c0x00ffffff-no-rj,800,800,Linux Guides,"Wöchentliche Videos rund um Linux- und Open Source. 
Die Videos sind sowohl für Anfänger, als auch teilweise für Fortgeschrittene gedacht.

Impressum: https://www.linuxguides.de/impressum/",,UUHZyqB9qHGGGw5QeRVEbQDg,17114651,66500,False,996,"['/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,Linux Guides,1764668787029995000
43,UCHa8J-xnRYOg5VuudfWpBgg,2016-04-27T19:23:48Z,US,ColorCode,Coding Tutorials for regular people! 🎉👨🏻‍💻📽,@colorcode-io,2016-04-27T19:23:48Z,https://yt3.ggpht.com/ytc/AIdro_kG8d4F4sXkkZiWSP8eoVODSbfI-zsstG_FZdjqonlVYv4=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_kG8d4F4sXkkZiWSP8eoVODSbfI-zsstG_FZdjqonlVYv4=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_kG8d4F4sXkkZiWSP8eoVODSbfI-zsstG_FZdjqonlVYv4=s800-c-k-c0x00ffffff-no-rj,800,800,ColorCode,Coding Tutorials for regular people! 🎉👨🏻‍💻📽,,UUHa8J-xnRYOg5VuudfWpBgg,3917647,98200,False,114,"['/m/07c1v', '/m/01k8wb', '/m/019_rr']","['https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,ColorCode,1764668787029995000
44,UCHd1qamEkVSlTWkEqIqJbEQ,2020-06-07T09:55:36.218375Z,US,Visual Computer Science,Welcome to Visual Computer Science! This channel is about explaining Computer Science / Software Engineering concepts in a visual and easy-to-remember way!,@visualcomputerscience,2020-06-07T09:55:36.218375Z,https://yt3.ggpht.com/ytc/AIdro_kXoJkNpnedfm8-IHCTKHuzLLH0Ud-XVCjqZatB4uToXA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_kXoJkNpnedfm8-IHCTKHuzLLH0Ud-XVCjqZatB4uToXA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_kXoJkNpnedfm8-IHCTKHuzLLH0Ud-XVCjqZatB4uToXA=s800-c-k-c0x00ffffff-no-rj,800,800,Visual Computer Science,Welcome to Visual Computer Science! This channel is about explaining Computer Science / Software Engineering concepts in a visual and easy-to-remember way!,,UUHd1qamEkVSlTWkEqIqJbEQ,847304,10900,False,35,"['/m/019_rr', '/m/01k8wb', '/m/07c1v']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",public,True,longUploadsUnspecified,Visual Computer Science,1764668787264490000
45,UCHxA_q3cXYYx8d1svHkFRZw,2013-09-24T13:08:17Z,US,The Tech Reviewer,"Hi! I'm Kristin, The Tech Reviewer, and I'm here to help you find the best cases and screen protectors for your iPhone and other devices, as well as other great tech accessories! On my channel, you'll find in depth, quality reviews that will allow you to see products in detail. Welcome to my channel, and thanks for watching!
",@thetechreviewer,2013-09-24T13:08:17Z,https://yt3.ggpht.com/ytc/AIdro_nABH0aK9Ib2k76fZ3kkFopMiLPiwq_M9eYrF9PV0cIOaw=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_nABH0aK9Ib2k76fZ3kkFopMiLPiwq_M9eYrF9PV0cIOaw=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_nABH0aK9Ib2k76fZ3kkFopMiLPiwq_M9eYrF9PV0cIOaw=s800-c-k-c0x00ffffff-no-rj,800,800,The Tech Reviewer,"Hi! I'm Kristin, The Tech Reviewer, and I'm here to help you find the best cases and screen protectors for your iPhone and other devices, as well as other great tech accessories! On my channel, you'll find in depth, quality reviews that will allow you to see products in detail. Welcome to my channel, and thanks for watching!
",,UUHxA_q3cXYYx8d1svHkFRZw,19261886,36100,False,913,"['/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,The Tech Reviewer,1764668787029995000
46,UCI0vQvr9aFn27yR6Ej6n5UA,2013-05-22T11:01:27Z,US,Real Python,"Python tutorials and training videos for Pythonistas that go beyond the basics. 

🎓🐍 Get free Python tips and programming tutorials at https://realpython.com

Hey, I’m Dan Bader and I help Python developers take their coding skills and productivity to the next level. I’m an independent software engineer, author, and speaker. I’ve been developing software for 15 years—and I’d love to help you become a more proficient Python coder.

On this channel you’ll get new Python videos and screencasts every week. They’re bite-sized and to the point so you can fit them in with your day and pick up new Python skills on the side:

► Free Python Articles & Tutorials: https://realpython.com
► Listen to the Real Python Podcast: https://realpython.com/podcast",@realpython,2013-05-22T11:01:27Z,https://yt3.ggpht.com/ytc/AIdro_nzF12uuoHg0gD_rl6GKh3imllb_MI7Npr2B6tJpZp939U=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_nzF12uuoHg0gD_rl6GKh3imllb_MI7Npr2B6tJpZp939U=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_nzF12uuoHg0gD_rl6GKh3imllb_MI7Npr2B6tJpZp939U=s800-c-k-c0x00ffffff-no-rj,800,800,Real Python,"Python tutorials and training videos for Pythonistas that go beyond the basics. 

🎓🐍 Get free Python tips and programming tutorials at https://realpython.com

Hey, I’m Dan Bader and I help Python developers take their coding skills and productivity to the next level. I’m an independent software engineer, author, and speaker. I’ve been developing software for 15 years—and I’d love to help you become a more proficient Python coder.

On this channel you’ll get new Python videos and screencasts every week. They’re bite-sized and to the point so you can fit them in with your day and pick up new Python skills on the side:

► Free Python Articles & Tutorials: https://realpython.com
► Listen to the Real Python Podcast: https://realpython.com/podcast",,UUI0vQvr9aFn27yR6Ej6n5UA,10701791,205000,False,1050,"['/m/019_rr', '/m/01k8wb', '/m/07c1v']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",public,True,longUploadsUnspecified,Real Python,1764668786732813000
47,UCIZFrMwq1lXOA2899t7d5Aw,2021-08-13T07:28:58.833497Z,,Software Engineering - ALX,Welcome to the official ALX Software Engineering Community channel. ,@alx-swe,2021-08-13T07:28:58.833497Z,https://yt3.ggpht.com/u_KrMoWu5o_bGRAOmoMvHiSFWsbxIoJ0MHahTMYM3z4JeKNQtBmWwgzC5EiuulrzfZEJC1inepA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/u_KrMoWu5o_bGRAOmoMvHiSFWsbxIoJ0MHahTMYM3z4JeKNQtBmWwgzC5EiuulrzfZEJC1inepA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/u_KrMoWu5o_bGRAOmoMvHiSFWsbxIoJ0MHahTMYM3z4JeKNQtBmWwgzC5EiuulrzfZEJC1inepA=s800-c-k-c0x00ffffff-no-rj,800,800,Software Engineering - ALX,Welcome to the official ALX Software Engineering Community channel. ,,UUIZFrMwq1lXOA2899t7d5Aw,26814,119000,False,13,"['/m/019_rr', '/m/01k8wb', '/m/07c1v']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",public,True,longUploadsUnspecified,Software Engineering - ALX,1764668787029995000
48,UCJGQuA3wmheCHiTBBBlt8pA,2018-03-28T05:22:18Z,AE,PLC Programming Tutorials Tips and Tricks,"Best place to learn PLC HMI and Scada, come join us to learn free
",@easyplctraining,2018-03-28T05:22:18Z,https://yt3.ggpht.com/ytc/AIdro_kf8IC5LstpVw_Z8DF6uydAxyAWJDsaN8u17MuBZghLIa8=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_kf8IC5LstpVw_Z8DF6uydAxyAWJDsaN8u17MuBZghLIa8=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_kf8IC5LstpVw_Z8DF6uydAxyAWJDsaN8u17MuBZghLIa8=s800-c-k-c0x00ffffff-no-rj,800,800,PLC Programming Tutorials Tips and Tricks,"Best place to learn PLC HMI and Scada, come join us to learn free
",,UUJGQuA3wmheCHiTBBBlt8pA,12325549,154000,False,443,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,PLC Programming Tutorials Tips and Tricks,1764668787029995000
49,UCK4ji45I-zxeWXAFKmu3p6Q,2013-10-31T22:10:46Z,IN,NetworKing,"Advancing IT Careers Worldwide Since 2013

Welcome to the official YouTube channel of NetworKing Inc., your trusted partner for professional technology education. With 25+ million views and learners in 150+ countries, we're committed to delivering world-class training that transforms careers.

What You'll Find Here:
✅ Expert-led technology tutorials
✅ Industry certification preparation
✅ Career advancement strategies
✅ Latest technology trends & insights
✅ Real-world project demonstrations

🏆 Why Choose NetworKing Inc.:

Industry-certified expert instructors
Proven track record of student success
Comprehensive, practical training approach
Global recognition and accreditation
Continuous curriculum updates

📈 Join Our Global Community:

Website: www.nwking.org
Business Inquiries: info@nwking.org
LinkedIn: linkedin.com/company/networking-consultant
Facebook: facebook.com/NetworKingConsultant
",@networkinginc,2013-10-31T22:10:46Z,https://yt3.ggpht.com/Ywu_2tXljdRnSDwY_WQXTPgWA8dktYTopruQ9krclZkazase4K8N7Gn9Eynhy5DO8u6nGlc9sQ=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/Ywu_2tXljdRnSDwY_WQXTPgWA8dktYTopruQ9krclZkazase4K8N7Gn9Eynhy5DO8u6nGlc9sQ=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/Ywu_2tXljdRnSDwY_WQXTPgWA8dktYTopruQ9krclZkazase4K8N7Gn9Eynhy5DO8u6nGlc9sQ=s800-c-k-c0x00ffffff-no-rj,800,800,NetworKing,"Advancing IT Careers Worldwide Since 2013

Welcome to the official YouTube channel of NetworKing Inc., your trusted partner for professional technology education. With 25+ million views and learners in 150+ countries, we're committed to delivering world-class training that transforms careers.

What You'll Find Here:
✅ Expert-led technology tutorials
✅ Industry certification preparation
✅ Career advancement strategies
✅ Latest technology trends & insights
✅ Real-world project demonstrations

🏆 Why Choose NetworKing Inc.:

Industry-certified expert instructors
Proven track record of student success
Comprehensive, practical training approach
Global recognition and accreditation
Continuous curriculum updates

📈 Join Our Global Community:

Website: www.nwking.org
Business Inquiries: info@nwking.org
LinkedIn: linkedin.com/company/networking-consultant
Facebook: facebook.com/NetworKingConsultant
",,UUK4ji45I-zxeWXAFKmu3p6Q,22589686,337000,False,67,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,NetworKing,1764668786732813000
50,UCKPSmMfDsXTKrCZApukcJ7A,2015-04-27T16:46:12Z,US,Talk Python,"Talk Python to Me is a weekly podcast hosted by Michael Kennedy. The show covers a wide array of Python topics as well as many related topics (e.g. MongoDB, AngularJS, DevOps).

The format is a casual 45 minute conversation with industry experts.

Have feedback for the show? Send it to talkpythontome@michaelckennedy.net. We'd love to hear from you.

The show is owned and operated by PDX Web Properties, LLC. (a small company run by Michael Kennedy).",@talkpython,2015-04-27T16:46:12Z,https://yt3.ggpht.com/ytc/AIdro_ljnxfbHaHHrtAm07LKKsr6qLfg7UDgd8lbO08ic8GRRd8=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_ljnxfbHaHHrtAm07LKKsr6qLfg7UDgd8lbO08ic8GRRd8=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_ljnxfbHaHHrtAm07LKKsr6qLfg7UDgd8lbO08ic8GRRd8=s800-c-k-c0x00ffffff-no-rj,800,800,Talk Python,"Talk Python to Me is a weekly podcast hosted by Michael Kennedy. The show covers a wide array of Python topics as well as many related topics (e.g. MongoDB, AngularJS, DevOps).

The format is a casual 45 minute conversation with industry experts.

Have feedback for the show? Send it to talkpythontome@michaelckennedy.net. We'd love to hear from you.

The show is owned and operated by PDX Web Properties, LLC. (a small company run by Michael Kennedy).",,UUKPSmMfDsXTKrCZApukcJ7A,999275,28200,False,560,"['/m/019_rr', '/m/01k8wb', '/m/07c1v']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",public,True,longUploadsUnspecified,Talk Python,1764668787264490000
